"source_settlement_raw","municipality","original_region","mapping_source","event_date"
"חוות הרועה העברי","חוות הרועה העברי","?? ?????","unmapped_fallback","2026-03-19"
"חוות חנינא","חוות חנינא","?? ?????","unmapped_fallback","2026-03-19"
"חוות ינון","חוות ינון","?? ?????","unmapped_fallback","2026-03-19"
"חוות מלכיאל","חוות מלכיאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות מעלה אהוביה","חוות מעלה אהוביה","?? ?????","unmapped_fallback","2026-03-19"
"חוות נחלת צבי","חוות נחלת צבי","?? ?????","unmapped_fallback","2026-03-19"
"מגרון","מגרון","?? ?????","unmapped_fallback","2026-03-19"
"נופי פרת","נופי פרת","?? ?????","unmapped_fallback","2026-03-19"
"פנימיית עין כרם","פנימיית עין כרם","?? ?????","unmapped_fallback","2026-03-19"
"חוות חנינא","חוות חנינא","?? ?????","unmapped_fallback","2026-03-19"
"מגרון","מגרון","?? ?????","unmapped_fallback","2026-03-19"
"החווה של זוהר","החווה של זוהר","?? ?????","unmapped_fallback","2026-03-19"
"בר כוכבא","בר כוכבא","?? ?????","unmapped_fallback","2026-03-19"
"חוות צאן קדר","חוות צאן קדר","?? ?????","unmapped_fallback","2026-03-19"
"חוות עדן","חוות עדן","?? ?????","unmapped_fallback","2026-03-19"
"פנימיית עין כרם","פנימיית עין כרם","?? ?????","unmapped_fallback","2026-03-20"
"אלון","אלון","?? ?????","unmapped_fallback","2026-03-20"
"גבעת אסף","גבעת אסף","?? ?????","unmapped_fallback","2026-03-20"
"אעירה השחר","אעירה השחר","?? ?????","unmapped_fallback","2026-03-20"
"בני אדם","בני אדם","?? ?????","unmapped_fallback","2026-03-20"
"החווה של זוהר","החווה של זוהר","?? ?????","unmapped_fallback","2026-03-20"
"חוות בניהו","חוות בניהו","?? ?????","unmapped_fallback","2026-03-20"
"חוות הרועה העברי","חוות הרועה העברי","?? ?????","unmapped_fallback","2026-03-20"
"חוות חנינא","חוות חנינא","?? ?????","unmapped_fallback","2026-03-20"
"חוות ינון","חוות ינון","?? ?????","unmapped_fallback","2026-03-20"
"חוות מלכיאל","חוות מלכיאל","?? ?????","unmapped_fallback","2026-03-20"
"חוות מעלה אהוביה","חוות מעלה אהוביה","?? ?????","unmapped_fallback","2026-03-20"
"חוות נחלת צבי","חוות נחלת צבי","?? ?????","unmapped_fallback","2026-03-20"
"מגרון","מגרון","?? ?????","unmapped_fallback","2026-03-20"
"נופי פרת","נופי פרת","?? ?????","unmapped_fallback","2026-03-20"
"בר כוכבא","בר כוכבא","?? ?????","unmapped_fallback","2026-03-20"
"חוות עדן","חוות עדן","?? ?????","unmapped_fallback","2026-03-20"
"גבעות","גבעות","?? ?????","unmapped_fallback","2026-03-20"
"חוות קשואלה","חוות קשואלה","?? ?????","unmapped_fallback","2026-03-20"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-20"
"כעביה טבאש","כעביה טבאש","?? ?????","unmapped_fallback","2026-03-20"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-20"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-20"
